user_utterance,bot_response,source
i'll hold you to that.,sounds like a plan.,original
"hey, what's good with you?",not a lot. what about you?,original
not a lot. what about you?,i'm throwing a party on friday.,original
i'm throwing a party on friday.,that sounds like fun.,original
that sounds like fun.,do you think you can come?,original
do you think you can come?,i'm sorry. i'm already doing something this friday.,original
i'm sorry. i'm already doing something this friday.,what are you going to be doing?,original
what are you going to be doing?,my family and i are going to dinner.,original
my family and i are going to dinner.,i was hoping you would come.,original
i was hoping you would come.,i'll definitely try to make it the next time.,original
i'll definitely try to make it the next time.,i'd better see you there.,original
i'd better see you there.,all right. i'll see you next time.,original
what's going on?,nothing really. how about you?,original
nothing really. how about you?,"a lot, like the party i'm having on friday.",original
"a lot, like the party i'm having on friday.","well, that's cool.",original
"well, that's cool.",will you be able to make it?,original
will you be able to make it?,i'm busy this friday. i'm sorry.,original
i'm busy this friday. i'm sorry.,what do you have to do?,original
what do you have to do?,i'm having dinner with my family,original
i'm having dinner with my family,maybe you can come next time.,original
maybe you can come next time.,i'll make sure and come to your next party.,original
i'll make sure and come to your next party.,i'll look for you at my next party.,original
it was nice talking to you.,why are you trying to rush me off the phone?,original
why are you trying to rush me off the phone?,i really have to go.,original
i really have to go.,why? i still wanted to talk to you.,original
why? i still wanted to talk to you.,i have things to do.,original
i have things to do.,like what?,original
like what?,don't be nosey.,original
don't be nosey.,i'm not. i just want to know.,original
i'm not. i just want to know.,"well, it's really none of your business.",original
"well, it's really none of your business.",that's harsh.,original
that's harsh.,"i'm sorry, but i have to go.",original
"i'm sorry, but i have to go.",fine.,original
i've enjoyed conversing with you.,is there a reason why you're trying to get off the phone so fast?,original
is there a reason why you're trying to get off the phone so fast?,i've got to go.,original
i've got to go.,i wasn't done talking to you.,original
i wasn't done talking to you.,"i have to do some things, and besides, it's not polite to be nosey.",original
"i have to do some things, and besides, it's not polite to be nosey.",i'm not being nosey. i'm just asking.,original
i'm not being nosey. i'm just asking.,i really don't think it's any of your business.,original
i really don't think it's any of your business.,that's not nice.,original
that's not nice.,"i apologize, but i'm getting off the phone now.",original
"i apologize, but i'm getting off the phone now.",okay.,original
i'll talk to you later.,what's the rush?,original
what's the rush?,i have to get off the phone now.,original
i have to get off the phone now.,i'm not ready to get off the phone with you.,original
i'm not ready to get off the phone with you.,there are other things i need to take care of.,original
there are other things i need to take care of.,what is it that you need to do?,original
what is it that you need to do?,please don't be nosey.,original
please don't be nosey.,"i'm not being nosey, it's just a question.",original
"i'm not being nosey, it's just a question.",you don't need to worry about that.,original
you don't need to worry about that.,that was mean to say.,original
that was mean to say.,"i am very sorry, but i must go.",original
"well, it was nice talking to you.",it was nice talking to you too.,original
it was nice talking to you too.,we should really hang out again.,original
we should really hang out again.,that would be fun.,original
that would be fun.,where do you want to go?,original
where do you want to go?,i think we should go out to eat.,original
i think we should go out to eat.,that sounds good.,original
that sounds good.,"all right, so i'll see you then.",original
"all right, so i'll see you then.",i'll call you later.,original
i'll call you later.,"okay, i'll talk to you later then.",original
"okay, i'll talk to you later then.",see you later.,original
see you later.,bye.,original
i enjoyed talking to you.,i enjoyed talking to you too.,original
i enjoyed talking to you too.,we should hang out some time.,original
we should hang out some time.,i think that would be nice.,original
i think that would be nice.,is there anything you would like to do next time?,original
is there anything you would like to do next time?,do you want to go out to eat?,original
do you want to go out to eat?,i'd like that.,original
i'd like that.,so i'll see you next time.,original
so i'll see you next time.,i'm going to call you soon.,original
i'm going to call you soon.,i'll talk to you later.,original
i'll talk to you later.,see you soon.,original
see you soon.,goodbye.,original
i had fun talking to you.,it was really nice talking to you also.,original
it was really nice talking to you also.,i think we should really do something sometime.,original
i think we should really do something sometime.,that should be loads of fun.,original
that should be loads of fun.,what do you want to do next time?,original
what do you want to do next time?,would you like to go to dinner or something?,original
would you like to go to dinner or something?,"yeah, let's do that.",original
"yeah, let's do that.","okay, until next time then.",original
"okay, until next time then.",i'll call you so we can set that up.,original
i'll call you so we can set that up.,talk to you then.,original
talk to you then.,"all right, see you.",original
where do you live?,i live in pasadena.,original
i live in pasadena.,where is pasadena?,original
where is pasadena?,it's in california.,original
it's in california.,is it in northern california?,original
is it in northern california?,no. it's in southern california.,original
no. it's in southern california.,is pasadena a big city?,original
is pasadena a big city?,it's pretty big.,original
it's pretty big.,"how big is ""pretty big""?",original
"how big is ""pretty big""?","it has about 140,000 people.",original
"it has about 140,000 people.",how big is los angeles?,original
how big is los angeles?,it has about 3 million people.,original
do you have a car?,"yes, i do.",original
"yes, i do.",what kind of car do you have?,original
what kind of car do you have?,i have a honda.,original
i have a honda.,is it new?,original
is it new?,it was new in 2003.,original
it was new in 2003.,"so, it's pretty old now.",original
"so, it's pretty old now.","yes, it is. but it still looks good.",original
"yes, it is. but it still looks good.",do you take good care of it?,original
do you take good care of it?,"oh, yes. i wash it once a week.",original
"oh, yes. i wash it once a week.",do you change the oil?,original
do you change the oil?,my mechanic changes the oil twice a year.,original
do you have a girlfriend?,"no, i don't. do you?",original
"no, i don't. do you?","i don't have a girlfriend, either.",original
"i don't have a girlfriend, either.",why not?,original
why not?,i don't know. maybe i'm not rich enough.,original
i don't know. maybe i'm not rich enough.,girls like guys with money.,original
girls like guys with money.,they sure do.,original
they sure do.,they like guys with new cars.,original
they like guys with new cars.,i don't have money or a new car.,original
i don't have money or a new car.,"me, neither.",original
"me, neither.",but girls like guys who are funny.,original
but girls like guys who are funny.,maybe we should learn some good jokes.,original
where are you going?,i have to walk the dog.,original
i have to walk the dog.,what kind of dog do you have?,original
what kind of dog do you have?,i have a little poodle.,original
i have a little poodle.,poodles bark a lot.,original
poodles bark a lot.,they sure do.,original
they sure do.,they bark at everything.,original
they bark at everything.,they never shut up.,original
they never shut up.,why did you get a poodle?,original
why did you get a poodle?,it's my mom's dog.,original
it's my mom's dog.,so she likes poodles.,original
so she likes poodles.,she says they're good watchdogs.,original
can i borrow $5?,sure. why do you need it?,original
sure. why do you need it?,i want to buy lunch.,original
i want to buy lunch.,where's your money?,original
where's your money?,it's not in my wallet.,original
it's not in my wallet.,your wallet is empty?,original
your wallet is empty?,i don't have even one dollar in it.,original
i don't have even one dollar in it.,being broke is no fun.,original
being broke is no fun.,even if it's only for a short while.,original
even if it's only for a short while.,it's always good to have friends.,original
it's always good to have friends.,friends will lend you money when you're broke.,original
friends will lend you money when you're broke.,as long as you pay them back.,original
let's go to the beach.,that's a great idea.,original
that's a great idea.,we haven't been in a while.,original
we haven't been in a while.,we haven't been in a month.,original
we haven't been in a month.,"the last time we went, you almost drowned.",original
"the last time we went, you almost drowned.","no, i didn't.",original
"no, i didn't.",then why did the lifeguard dive into the water?,original
then why did the lifeguard dive into the water?,i think he wanted to cool off.,original
i think he wanted to cool off.,he swam right up to you.,original
he swam right up to you.,and then he turned right around.,original
and then he turned right around.,maybe you're right.,original
maybe you're right.,maybe we should get going.,original
are you married?,no. i'm divorced.,original
no. i'm divorced.,when did you get divorced?,original
when did you get divorced?,i got divorced two years ago.,original
i got divorced two years ago.,why did you get divorced?,original
why did you get divorced?,my wife left me.,original
my wife left me.,why did she leave you?,original
why did she leave you?,she said she didn't love me anymore.,original
she said she didn't love me anymore.,wow! that's terrible.,original
wow! that's terrible.,"yes, it was.",original
"yes, it was.",why didn't she love you anymore?,original
why didn't she love you anymore?,she fell in love with my best friend.,original
i'm bored.,what's on tv?,original
what's on tv?,nothing.,original
nothing.,there must be something on tv!,original
there must be something on tv!,nothing that's interesting.,original
nothing that's interesting.,what about that new game show?,original
what about that new game show?,which one?,original
which one?,"""deal or no deal""",original
"""deal or no deal""",tell me you're joking.,original
tell me you're joking.,i love that show.,original
i love that show.,i watched it once. that was enough.,original
i watched it once. that was enough.,it's on right now. let's watch it together.,original
i like living here.,i agree. pasadena is a nice city.,original
i agree. pasadena is a nice city.,it's not too big.,original
it's not too big.,and it's not too small.,original
and it's not too small.,it has great weather all year long.,original
it has great weather all year long.,it has the rose parade.,original
it has the rose parade.,it has beautiful houses.,original
it has beautiful houses.,it has wonderful restaurants.,original
it has wonderful restaurants.,it has great schools.,original
it has great schools.,it's close to the mountains.,original
it's close to the mountains.,the people are friendly.,original
the people are friendly.,i'm not ever going to leave.,original
we need a new mattress.,what's the matter with this one?,original
what's the matter with this one?,it's not comfortable.,original
it's not comfortable.,it seems fine to me.,original
it seems fine to me.,i toss and turn all night.,original
i toss and turn all night.,you should stop drinking coffee.,original
you should stop drinking coffee.,look at these marks on my arms.,original
look at these marks on my arms.,what are they?,original
what are they?,they are bites.,original
they are bites.,did the cat bite you?,original
did the cat bite you?,no. the bedbugs in that mattress bit me.,original
no. the bedbugs in that mattress bit me.,okay. let's get a new mattress.,original
my laptop is so slow.,buy a new one.,original
buy a new one.,i would if i had the money.,original
i would if i had the money.,why is it so slow?,original
why is it so slow?,that's a good question.,original
that's a good question.,did you take it to a computer shop?,original
did you take it to a computer shop?,i would if i had the money.,original
i would if i had the money.,"well, i guess you have to live with it.",original
"well, i guess you have to live with it.",sometimes i want to throw it out the window.,original
sometimes i want to throw it out the window.,you don't want to do that.,original
you don't want to do that.,why not?,original
why not?,you might hit someone in the head.,original
what's for dinner?,i'm not sure.,original
i'm not sure.,how about a pizza?,original
how about a pizza?,you had pizza for lunch.,original
you had pizza for lunch.,but i love pizza.,original
but i love pizza.,everybody loves pizza.,original
everybody loves pizza.,so why can't i have pizza for dinner?,original
so why can't i have pizza for dinner?,because you need variety.,original
because you need variety.,"what's ""variety?",original
"what's ""variety?",different thingsnot the same thing all the time.,original
different thingsnot the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?",original
"you mean, like a pepperoni pizza instead of a cheese pizza?","no, i mean a salad instead of a pizza.",original
we need to save money.,why do we need to save money?,original
why do we need to save money?,because we need to buy a house.,original
because we need to buy a house.,but a house is so expensive.,original
but a house is so expensive.,that's why we need to save money.,original
that's why we need to save money.,how much do we need to save?,original
how much do we need to save?,we need to save enough for a down payment.,original
we need to save enough for a down payment.,how much is that?,original
how much is that?,"that's about $30,000.",original
"that's about $30,000.",thirty thousand dollars! that will take forever.,original
thirty thousand dollars! that will take forever.,not if we save every penny.,original
not if we save every penny.,okay. here's seven pennies.,original
the ocean is so big.,you can't see the end of it.,original
you can't see the end of it.,it goes on and on forever.,original
it goes on and on forever.,"and it's deep, too.",original
"and it's deep, too.",i think it's five miles deep.,original
i think it's five miles deep.,are there fish at the bottom?,original
are there fish at the bottom?,there are fish at the top and the bottom.,original
there are fish at the top and the bottom.,are there more fish or more people?,original
are there more fish or more people?,i think there are more fish.,original
i think there are more fish.,i hope so. i love to eat fish.,original
i'm upset with my mom.,why is that?,original
why is that?,i warned her about her new boyfriend. she didn't listen to me.,original
i warned her about her new boyfriend. she didn't listen to me.,what happened?,original
what happened?,"i gave her $1,000 for her birthday. i told her to spend it on herself.",original
"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.,original
that was very nice of you.,i found out that she gave it to her new boyfriend.,original
i found out that she gave it to her new boyfriend.,why did she do that?,original
why did she do that?,he said he would buy her a nice ring.,original
he said he would buy her a nice ring.,what's wrong with that?,original
what's wrong with that?,he went to las vegas. he lost it all gambling.,original
he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.,original
do animals talk to each other?,of course they talk to each other.,original
of course they talk to each other.,what do they talk about?,original
what do they talk about?,they talk about other animals.,original
they talk about other animals.,what else do they talk about?,original
what else do they talk about?,they talk about food and the weather.,original
they talk about food and the weather.,do they talk about us?,original
do they talk about us?,of course they talk about us.,original
of course they talk about us.,what do they say about us?,original
what do they say about us?,they say that we are funny-looking.,original
they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.,original
ha! we're not funny-looking; animals are funny-looking.,we're funny-looking because we wear clothes.,original
i have to clean the house.,"yes, it's very dirty.",original
"yes, it's very dirty.",you can help me.,original
you can help me.,why me?,original
why me?,because you helped make it dirty.,original
because you helped make it dirty.,what do you want me to do?,original
what do you want me to do?,i want you to clean the bathroom.,original
i want you to clean the bathroom.,"oh, that's easy.",original
"oh, that's easy.","clean the sink, the tub, the counter, and the toilet.",original
"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.,original
that's a lot of work.,tell me when you finish.,original
tell me when you finish.,i don't think so. you'll just give me more work.,original
you're watching too much tv.,what do you mean?,original
what do you mean?,i mean you're wasting your life.,original
i mean you're wasting your life.,i'm having fun.,original
i'm having fun.,you're sitting there with your mouth open.,original
you're sitting there with your mouth open.,who cares?,original
who cares?,i care. do something.,original
i care. do something.,okay. i did something.,original
okay. i did something.,what did you do?,original
what did you do?,i turned up the volume.,original
i turned up the volume.,"that's not what i meant by ""do something.""",original
"that's not what i meant by ""do something.""",will you do something? leave me alone.,original
did you write a letter to grandma?,"yes, i did.",original
"yes, i did.",did you tell her about school?,original
did you tell her about school?,i told her that school is fun.,original
i told her that school is fun.,did you put the letter in an envelope?,original
did you put the letter in an envelope?,"yes, and i sealed the envelope.",original
"yes, and i sealed the envelope.",did you put a stamp on the envelope?,original
did you put a stamp on the envelope?,i couldn't find any stamps.,original
i couldn't find any stamps.,they're in the kitchen drawer.,original
they're in the kitchen drawer.,okay. i just put a stamp on the envelope.,original
okay. i just put a stamp on the envelope.,"give me the envelope, and i'll mail it for you.",original
"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?,original
why are you yawning?,i'm sleepy.,original
i'm sleepy.,why don't you go to bed?,original
why don't you go to bed?,i want to watch this tv show.,original
i want to watch this tv show.,maybe you should record it.,original
maybe you should record it.,the tape recorder is broken.,original
the tape recorder is broken.,then you should watch the rerun.,original
then you should watch the rerun.,why? i'm watching the original.,original
why? i'm watching the original.,but you'll be asleep in about one minute.,original
but you'll be asleep in about one minute.,i'm just yawning because the commercials are on.,original
i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.,original
okay. i'll tell you how the show ends.,zzz.,original
it's sunday.,so?,original
so?,you know what that means.,original
you know what that means.,i forgot.,original
i forgot.,sunday means we go to church.,original
sunday means we go to church.,"oh, yeah.",original
"oh, yeah.",put on a coat and tie.,original
put on a coat and tie.,why?,original
why?,to show respect to god and others.,original
to show respect to god and others.,i'm glad sunday is only once a week.,original
i'm glad sunday is only once a week.,i hope god didn't hear that.,original
i hope god didn't hear that.,he'll forgive me.,original
did you feed the cat?,i'll do that in a minute.,original
i'll do that in a minute.,the cat is meowing. he's hungry.,original
the cat is meowing. he's hungry.,okay. i'll feed him right now.,original
okay. i'll feed him right now.,you shouldn't make him wait.,original
you shouldn't make him wait.,i was doing my homework.,original
i was doing my homework.,the cat doesn't care about your homework.,original
the cat doesn't care about your homework.,the cat doesn't care about anything.,original
the cat doesn't care about anything.,that's the way cats are.,original
that's the way cats are.,all they think about is themselves.,original
all they think about is themselves.,maybe we should get rid of him.,original
maybe we should get rid of him.,of course not! he's family.,original
i hate shaving.,me too.,original
me too.,i just cut myself again.,original
i just cut myself again.,did you use a new blade?,original
did you use a new blade?,"it doesn't matter. old blades cut, new blades cut.",original
"it doesn't matter. old blades cut, new blades cut.",maybe you should use an electric shaver.,original
maybe you should use an electric shaver.,"they make a lot of noise, but they don't give a close shave.",original
"they make a lot of noise, but they don't give a close shave.",maybe you should stop shaving.,original
maybe you should stop shaving.,and grow a beard?,original
and grow a beard?,sure. why not?,original
sure. why not?,because food and other stuff sticks in my beard.,original
because food and other stuff sticks in my beard.,hmm. here's an idea. put cream on your face and have the cat lick it off.,original
excuse me.,yes?,original
yes?,are you reading this paper?,original
are you reading this paper?,"oh, no. help yourself.",original
"oh, no. help yourself.",i asked because the paper is sitting next to you.,original
i asked because the paper is sitting next to you.,thank you. that's polite of you to ask.,original
thank you. that's polite of you to ask.,some people would just pick it up.,original
some people would just pick it up.,"yes, i know. some people are rude.",original
"yes, i know. some people are rude.",i always try to be polite.,original
i always try to be polite.,so do i.,original
so do i.,the world needs more polite people like us.,original
the world needs more polite people like us.,i agree 100 percent.,original
"mom, i want a puppy.",let me think about it.,original
let me think about it.,why do you have to think about it?,original
why do you have to think about it?,because a puppy costs money.,original
because a puppy costs money.,"no, it doesn't. puppies are free.",original
"no, it doesn't. puppies are free.","yes, but a puppy needs shots.",original
"yes, but a puppy needs shots.",shots for what?,original
shots for what?,so it won't get sick. just like you get shots.,original
so it won't get sick. just like you get shots.,i hate shots.,original
i hate shots.,and a puppy eats food. food costs money.,original
and a puppy eats food. food costs money.,no problem. i'll give him food off my plate.,original
no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables.",original
look at all these kittens!,how many are there?,original
how many are there?,eight.,original
eight.,they're all so cute.,original
they're all so cute.,"yes, but i can't keep them.",original
"yes, but i can't keep them.",what are you going to do with them?,original
what are you going to do with them?,i'm going to give them away. do you want one?,original
i'm going to give them away. do you want one?,"yes, i would love one.",original
"yes, i would love one.",which one do you want?,original
which one do you want?,that one. the one that's all black.,original
that one. the one that's all black.,"yes, i like that one, too.",original
"yes, i like that one, too.",i'll call him blacky.,original
my parents go to church every sunday.,they trust in god.,original
they trust in god.,they hope they will go to heaven.,original
they hope they will go to heaven.,they probably will.,original
they probably will.,but no one knows for sure.,original
but no one knows for sure.,that's for sure.,original
that's for sure.,no one knows what happens after we die.,original
no one knows what happens after we die.,"if we are good, we will be happy in heaven with god.",original
"if we are good, we will be happy in heaven with god.",that's what many people believe.,original
that's what many people believe.,"if we are bad, we will be unhappy forever in hell.",original
"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.,original
i don't want to go to hell.,let's go to church with your parents on sunday.,original
my husband died.,i'm sorry for you.,original
i'm sorry for you.,thank you.,original
thank you.,when did he die?,original
when did he die?,a couple of months ago.,original
a couple of months ago.,you still miss him.,original
you still miss him.,"yes, but i talk to him almost every day.",original
"yes, but i talk to him almost every day.",when you go to church?,original
when you go to church?,"no, when i call him on his cell phone.",original
"no, when i call him on his cell phone.",what do you mean?,original
what do you mean?,i buried him with his cell phone.,original
i buried him with his cell phone.,what will you do when the battery dies?,original
today is friday the thirteenth.,that's a bad day.,original
that's a bad day.,it's supposed to be unlucky.,original
it's supposed to be unlucky.,you're supposed to stay home all day.,original
you're supposed to stay home all day.,that's what i do.,original
that's what i do.,my friend stayed in a hotel on friday the thirteenth.,original
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.,original
that was a mistake.,he stayed on the thirteenth floor.,original
he stayed on the thirteenth floor.,what happened?,original
what happened?,someone stole his laptop.,original
someone stole his laptop.,he was asking for it.,original
he was asking for it.,he learned his lesson. he's home today.,original
do you really love me?,of course.,original
of course.,prove it.,original
prove it.,how can i prove it?,original
how can i prove it?,take me to dinner.,original
take me to dinner.,that's it? that's all i have to do?,original
that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's.",original
"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.,original
but a nice restaurant costs money.,"yes, and you have to make a reservation.",original
"yes, and you have to make a reservation.",that's such a hassle.,original
that's such a hassle.,i knew you didn't love me.,original
i knew you didn't love me.,"okay, okay! i'll make a reservation right now.",original
my parents are divorced.,so are mine.,original
so are mine.,why did your parents get divorced?,original
why did your parents get divorced?,my father found a new girlfriend.,original
my father found a new girlfriend.,that's too bad.,original
that's too bad.,my mother was hurt and angry.,original
my mother was hurt and angry.,she had good reason. what did she do?,original
she had good reason. what did she do?,she told him to drop his girlfriend.,original
she told him to drop his girlfriend.,what did your father do?,original
what did your father do?,he moved out of our house.,original
he moved out of our house.,i guess he really liked his new girlfriend.,original
i guess he really liked his new girlfriend.,"yes, but she left him a year later.",original
my grandma's apartment smells funny.,so does mine.,original
so does mine.,i think it's an old people's smell.,original
i think it's an old people's smell.,really?,original
really?,"yes. i think when you get old, you begin to smell.",original
"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?,original
like fruit that is too ripe?,"yes, just like fruit that is too ripe.",original
"yes, just like fruit that is too ripe.",but the smell is different.,original
but the smell is different.,"yes, old people don't smell like fruit.",original
"yes, old people don't smell like fruit.","no, they smell like a thrift shop.",original
"no, they smell like a thrift shop.","yes, a thrift shop has that same smell.",original
"yes, a thrift shop has that same smell.","yes, an old smell.",original
the price of stamps goes up and up.,i think stamps used to cost a penny.,original
i think stamps used to cost a penny.,that was a long time ago.,original
that was a long time ago.,it was before i was born.,original
it was before i was born.,now a stamp is 42 cents.,original
now a stamp is 42 cents.,but in may it will be 44 cents.,original
but in may it will be 44 cents.,have you ever lost a letter in the mail?,original
have you ever lost a letter in the mail?,"no, i haven't.",original
"no, i haven't.",neither have i.,original
neither have i.,"so, they do a good job for the money.",original
"so, they do a good job for the money.","yes, they do.",original
"yes, they do.",maybe we shouldn't complain.,original
a button came off my shirt.,what are you going to do?,original
what are you going to do?,"first, i have to find the button.",original
"first, i have to find the button.",where did you lose it?,original
where did you lose it?,i have no idea.,original
i have no idea.,a button is hard to find. did you look in your pant cuffs?,original
a button is hard to find. did you look in your pant cuffs?,that's a good idea.,original
that's a good idea.,i found a button in my pant cuffs one time.,original
i found a button in my pant cuffs one time.,"let me look. no, it's not there.",original
"let me look. no, it's not there.",many shirts come with an extra button.,original
many shirts come with an extra button.,you're right. this one does have an extra button.,original
you're right. this one does have an extra button.,now all you have to do is sew it on.,original
i have to go to the bathroom.,you drink too much coffee.,original
you drink too much coffee.,but i love coffee.,original
but i love coffee.,"well, it's your life.",original
"well, it's your life.",you eat too much chocolate.,original
you eat too much chocolate.,i don't think so.,original
i don't think so.,have you looked in the mirror?,original
have you looked in the mirror?,do you think i'm getting fat?,original
do you think i'm getting fat?,i didn't say that.,original
i didn't say that.,what did you say?,original
what did you say?,i said i have to go to the bathroom.,original
i said i have to go to the bathroom.,that's what i thought you said.,original
did you do the laundry?,"yes, i did.",original
"yes, i did.",what did you wash?,original
what did you wash?,i washed the sheets and towels.,original
i washed the sheets and towels.,what about the pillowcases?,original
what about the pillowcases?,"yes, i took them off the pillows and washed them.",original
"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?,original
did you dry everything in the dryer?,"yes, i dried everything in the dryer.",original
"yes, i dried everything in the dryer.",then what did you do?,original
then what did you do?,i folded all the towels.,original
i folded all the towels.,did you put the sheets on the beds?,original
did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows.",original
do you listen to the radio?,i listen day and night.,original
i listen day and night.,what do you listen to?,original
what do you listen to?,mostly talk radio.,original
mostly talk radio.,what's that?,original
what's that?,people talk about current events.,original
people talk about current events.,what do they say?,original
what do they say?,they say they want change.,original
they say they want change.,what kind of change?,original
what kind of change?,they want tax cuts.,original
they want tax cuts.,why do they want tax cuts?,original
why do they want tax cuts?,because tax cuts will save them money.,original
"mom, i'm hungry.",look in the fridge.,original
look in the fridge.,i'm looking. there's nothing to eat.,original
i'm looking. there's nothing to eat.,are you sure?,original
are you sure?,it's almost empty.,original
it's almost empty.,i went to the market yesterday.,original
i went to the market yesterday.,i don't see anything.,original
i don't see anything.,i bought lots of oranges and apples.,original
i bought lots of oranges and apples.,i don't want fruit. i want something tasty.,original
i don't want fruit. i want something tasty.,eat the fruit. it's good for you.,original
eat the fruit. it's good for you.,"next time you go to the market, let me go with you.",original
"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars.",original
what is there to eat?,i don't know. look in the fridge.,original
i don't know. look in the fridge.,i think i'll make a sandwich.,original
i think i'll make a sandwich.,what kind?,original
what kind?,a ham sandwich.,original
a ham sandwich.,the bread is in the cabinet.,original
the bread is in the cabinet.,where's the mustard?,original
where's the mustard?,"it's in the fridge, i think.",original
"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?",original
"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice.",original
"yes, that sounds nice.",how about some potato chips?,original
how about some potato chips?,"yes. and a pickle, if we have any.",original
"it's time for your bath, young lady.","but, mom, i'm not dirty.",original
"but, mom, i'm not dirty.",you need a bath every day.,original
you need a bath every day.,why?,original
why?,because you don't want to smell bad.,original
because you don't want to smell bad.,i don't smell bad.,original
i don't smell bad.,that's what you think.,original
that's what you think.,"if i smelled bad, i could smell me.",original
"if i smelled bad, i could smell me.",i can smell you.,original
i can smell you.,"i can smell you, too.",original
"i can smell you, too.",that's my perfume.,original
that's my perfume.,when can i wear perfume?,original
something's wrong with my computer.,exactly what?,original
exactly what?,all i get is a black screen.,original
all i get is a black screen.,what's the matter?,original
what's the matter?,"i think i know, because this happened before.",original
"i think i know, because this happened before.",what happened before?,original
what happened before?,my hard drive crashed.,original
my hard drive crashed.,"oh, no. that's bad news.",original
"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure.",original
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?,original
will you lose all your files?,"no, i always back up my files.",original
"no, i always back up my files.",you're smart.,original
i called hp about my computer.,what did they say?,original
what did they say?,they said i need a new hard drive.,original
they said i need a new hard drive.,that's too bad. how much is a new one?,original
that's too bad. how much is a new one?,"it's not too much, only about $85.",original
"it's not too much, only about $85.",plus installation?,original
plus installation?,"no, my hard drive is easy to remove and replace.",original
"no, my hard drive is easy to remove and replace.",really?,original
really?,"yes, it's just a couple of screws.",original
"yes, it's just a couple of screws.",that's nice.,original
that's nice.,it's a lot better than paying someone $60.,original
it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you.",original
what's your email address?,it's bluedog123.,original
it's bluedog123.,bluedog123. are you sure that's all?,original
bluedog123. are you sure that's all?,yes.,original
yes.,no. that's incomplete.,original
no. that's incomplete.,what do you mean?,original
what do you mean?,what's your mailing address?,original
what's your mailing address?,"456 cherry drive, pasadena, ca 91170.",original
"456 cherry drive, pasadena, ca 91170.",that's correct.,original
that's correct.,so what's the problem?,original
so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code.",original
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com.",original
i'm going to take a nap.,you should unplug the phone.,original
you should unplug the phone.,that's a good idea.,original
that's a good idea.,do you want me to wake you in an hour?,original
do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up.",original
"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.,original
i'll start dinner at 6:00.,okay. i think i'll be awake by then.,original
okay. i think i'll be awake by then.,"if not, your nose will wake you up.",original
"if not, your nose will wake you up.",you mean i will smell the food cooking?,original
you mean i will smell the food cooking?,you might even dream about dinner.,original
you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.,original
i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.,original
that was a nice funeral.,"yes, dad, it was.",original
"yes, dad, it was.",the son gave a nice speech about his father.,original
the son gave a nice speech about his father.,"it was long, too.",original
"it was long, too.",i think it was about 45 minutes long.,original
i think it was about 45 minutes long.,but it went by fast. it was interesting.,original
but it went by fast. it was interesting.,i liked it.,original
i liked it.,"i'll give you a speech like that, too.",original
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?,original
do you think anyone will come to my funeral?,of course.,original
of course.,i think only the family will be there.,original
i think only the family will be there.,"you have lots of friends. they will be there, too!",original
yikes! what was that noise?,i had to blow my nose.,original
i had to blow my nose.,did you have to blow right next to the phone?,original
did you have to blow right next to the phone?,did you hear that?,original
did you hear that?,of course i heard that. i thought a plane had crashed into your house.,original
of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.,original
it wasn't that loud.,"i will blow my nose sometime for you, and you'll see.",original
"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.,original
okay. i'll take your word for it.,i thought you had an elephant in your house.,original
i thought you had an elephant in your house.,you're funny.,original
you're funny.,what did you say? i think i've gone deaf.,original
what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.,original
i have lots of friends.,really? how many do you have?,original
really? how many do you have?,"i don't know, maybe one hundred.",original
"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?,original
